Site,Parameter,Sequence,Phase,Start Time,End Time,Value,Expected Value,% Error,Drift Limit %
zNRP_cals,NOX-cal,GASCALS%,PREC,03-Mar-2016 05:57:00,03-Mar-2016 06:07:05,-1,0.0,-.82, 
zNRP_cals,NOX-cal,GASCALS%,ZERO,03-Mar-2016 05:57:00,03-Mar-2016 06:12:05,0,0.0,.45, 
zNRP_cals,NOXCON,GASCALS,SPAN,03-Mar-2016 05:30:00,03-Mar-2016 05:35:00,98,100,2.11, 
zNRP_cals,NOXCON,GASCALS,PREC,03-Mar-2016 05:30:00,03-Mar-2016 05:40:00,100,100,.3, 
zNRP_cals,NOXCON,GASCALS,ZERO,03-Mar-2016 05:30:00,03-Mar-2016 05:45:00,99,100,.91, 
zNRP_cals,O3-cal,GASCALS,SPAN,03-Mar-2016 05:30:00,03-Mar-2016 05:35:00,344,348,1.23, 
zNRP_cals,O3-cal,GASCALS,PREC,03-Mar-2016 05:30:00,03-Mar-2016 05:40:00,69,67,3.06, 
zNRP_cals,O3-cal,GASCALS,ZERO,03-Mar-2016 05:30:00,03-Mar-2016 05:45:00,1,0.0,.94, 
zNRP_cals,O3-cal,GASCALS%,SPAN,03-Mar-2016 05:57:00,03-Mar-2016 06:02:00,-1,0.0,-1.23, 
zNRP_cals,O3-cal,GASCALS%,PREC,03-Mar-2016 05:57:00,03-Mar-2016 06:07:05,3,0.0,3.06, 
zNRP_cals,O3-cal,GASCALS%,ZERO,03-Mar-2016 05:57:00,03-Mar-2016 06:12:05,1,0.0,.94, 
zNRP_cals,NO2-cal,GASCALS,SPAN,04-Mar-2016 05:30:00,04-Mar-2016 05:35:00,381,374.163,1.78, 
zNRP_cals,NO2-cal,GASCALS,PREC,04-Mar-2016 05:30:00,04-Mar-2016 05:40:00,73,70.795,2.53, 
zNRP_cals,NO2-cal,GASCALS,ZERO,04-Mar-2016 05:30:00,04-Mar-2016 05:45:00,0,0.0,.12, 
zNRP_cals,NO2-cal,GASCALS%,SPAN,04-Mar-2016 05:57:00,04-Mar-2016 06:02:00,2,0.0,1.78, 
zNRP_cals,NO2-cal,GASCALS%,PREC,04-Mar-2016 05:57:00,04-Mar-2016 06:07:05,3,0.0,2.53, 
zNRP_cals,NO2-cal,GASCALS%,ZERO,04-Mar-2016 05:57:00,04-Mar-2016 06:12:05,0,0.0,.12, 
zNRP_cals,NO-cal,GASCALS,SPAN,04-Mar-2016 05:30:00,04-Mar-2016 05:35:00,464,456.4,1.58, 
zNRP_cals,NO-cal,GASCALS,PREC,04-Mar-2016 05:30:00,04-Mar-2016 05:40:00,204,204.6,.28, 
zNRP_cals,NO-cal,GASCALS,ZERO,04-Mar-2016 05:30:00,04-Mar-2016 05:45:00,0,0.0,.29, 
zNRP_cals,NO-cal,GASCALS%,SPAN,04-Mar-2016 05:57:00,04-Mar-2016 06:02:00,2,0.0,1.58, 
zNRP_cals,NO-cal,GASCALS%,PREC,04-Mar-2016 05:57:00,04-Mar-2016 06:07:05,0,0.0,-.28, 
zNRP_cals,NO-cal,GASCALS%,ZERO,04-Mar-2016 05:57:00,04-Mar-2016 06:12:05,0,0.0,.29, 
zNRP_cals,NOX-cal,GASCALS,SPAN,04-Mar-2016 05:30:00,04-Mar-2016 05:35:00,463,456.4,1.55, 
zNRP_cals,NOX-cal,GASCALS,PREC,04-Mar-2016 05:30:00,04-Mar-2016 05:40:00,204,204.6,.37, 
zNRP_cals,NOX-cal,GASCALS,ZERO,04-Mar-2016 05:30:00,04-Mar-2016 05:45:00,0,0.0,.41, 
zNRP_cals,NOX-cal,GASCALS%,SPAN,04-Mar-2016 05:57:00,04-Mar-2016 06:02:00,2,0.0,1.55, 
zNRP_cals,NOX-cal,GASCALS%,PREC,04-Mar-2016 05:57:00,04-Mar-2016 06:07:05,0,0.0,-.37, 
zNRP_cals,NOX-cal,GASCALS%,ZERO,04-Mar-2016 05:57:00,04-Mar-2016 06:12:05,0,0.0,.41, 
zNRP_cals,NOXCON,GASCALS,SPAN,04-Mar-2016 05:30:00,04-Mar-2016 05:35:00,99,100,1.27, 
zNRP_cals,NOXCON,GASCALS,PREC,04-Mar-2016 05:30:00,04-Mar-2016 05:40:00,100,100,.13, 
zNRP_cals,NOXCON,GASCALS,ZERO,04-Mar-2016 05:30:00,04-Mar-2016 05:45:00,99,100,.7, 
zNRP_cals,O3-cal,GASCALS,SPAN,04-Mar-2016 05:30:00,04-Mar-2016 05:35:00,345,348,.73, 
zNRP_cals,O3-cal,GASCALS,PREC,04-Mar-2016 05:30:00,04-Mar-2016 05:40:00,66,67,2.02, 
zNRP_cals,O3-cal,GASCALS,ZERO,04-Mar-2016 05:30:00,04-Mar-2016 05:45:00,0,0.0,.43, 
zNRP_cals,O3-cal,GASCALS%,SPAN,04-Mar-2016 05:57:00,04-Mar-2016 06:02:00,-1,0.0,-.73, 
zNRP_cals,O3-cal,GASCALS%,PREC,04-Mar-2016 05:57:00,04-Mar-2016 06:07:05,-2,0.0,-2.02, 
zNRP_cals,O3-cal,GASCALS%,ZERO,04-Mar-2016 05:57:00,04-Mar-2016 06:12:05,0,0.0,.43, 
zNRP_cals,NO2-cal,GASCALS,SPAN,05-Mar-2016 05:30:00,05-Mar-2016 05:35:00,381,371.895,2.44, 
zNRP_cals,NO2-cal,GASCALS,PREC,05-Mar-2016 05:30:00,05-Mar-2016 05:40:00,73,69.707,4.89, 
zNRP_cals,NO2-cal,GASCALS,ZERO,05-Mar-2016 05:30:00,05-Mar-2016 05:45:00,0,0.0,.05, 
zNRP_cals,NO2-cal,GASCALS%,SPAN,05-Mar-2016 05:57:00,05-Mar-2016 06:02:00,2,0.0,2.44, 
zNRP_cals,NO2-cal,GASCALS%,PREC,05-Mar-2016 05:57:00,05-Mar-2016 06:07:05,5,0.0,4.89, 
zNRP_cals,NO2-cal,GASCALS%,ZERO,05-Mar-2016 05:57:00,05-Mar-2016 06:12:07,0,0.0,.05, 
zNRP_cals,NO-cal,GASCALS,SPAN,05-Mar-2016 05:30:00,05-Mar-2016 05:35:00,465,456.4,1.98, 
zNRP_cals,NO-cal,GASCALS,PREC,05-Mar-2016 05:30:00,05-Mar-2016 05:40:00,204,204.6,.49, 
zNRP_cals,NO-cal,GASCALS,ZERO,05-Mar-2016 05:30:00,05-Mar-2016 05:45:00,0,0.0,.21, 
zNRP_cals,NO-cal,GASCALS%,SPAN,05-Mar-2016 05:57:00,05-Mar-2016 06:02:00,2,0.0,1.98, 
zNRP_cals,NO-cal,GASCALS%,PREC,05-Mar-2016 05:57:00,05-Mar-2016 06:07:05,0,0.0,-.49, 
zNRP_cals,NO-cal,GASCALS%,ZERO,05-Mar-2016 05:57:00,05-Mar-2016 06:12:07,0,0.0,.21, 
zNRP_cals,NOX-cal,GASCALS,SPAN,05-Mar-2016 05:30:00,05-Mar-2016 05:35:00,464,456.4,1.65, 
zNRP_cals,NOX-cal,GASCALS,PREC,05-Mar-2016 05:30:00,05-Mar-2016 05:40:00,204,204.6,.33, 
zNRP_cals,NOX-cal,GASCALS,ZERO,05-Mar-2016 05:30:00,05-Mar-2016 05:45:00,0,0.0,.33, 
zNRP_cals,NOX-cal,GASCALS%,SPAN,05-Mar-2016 05:57:00,05-Mar-2016 06:02:00,2,0.0,1.65, 
zNRP_cals,NOX-cal,GASCALS%,PREC,05-Mar-2016 05:57:00,05-Mar-2016 06:07:05,0,0.0,-.33, 
zNRP_cals,NOX-cal,GASCALS%,ZERO,05-Mar-2016 05:57:00,05-Mar-2016 06:12:07,0,0.0,.33, 
zNRP_cals,NOXCON,GASCALS,SPAN,05-Mar-2016 05:30:00,05-Mar-2016 05:35:00,99,100,1.25, 
zNRP_cals,NOXCON,GASCALS,PREC,05-Mar-2016 05:30:00,05-Mar-2016 05:40:00,101,100,.53, 
zNRP_cals,NOXCON,GASCALS,ZERO,05-Mar-2016 05:30:00,05-Mar-2016 05:45:00,100,100,.36, 
zNRP_cals,O3-cal,GASCALS,SPAN,05-Mar-2016 05:30:00,05-Mar-2016 05:35:00,347,348,.37, 
zNRP_cals,O3-cal,GASCALS,PREC,05-Mar-2016 05:30:00,05-Mar-2016 05:40:00,66,67,.8, 
zNRP_cals,O3-cal,GASCALS,ZERO,05-Mar-2016 05:30:00,05-Mar-2016 05:45:00,1,0.0,.77, 
zNRP_cals,O3-cal,GASCALS%,SPAN,05-Mar-2016 05:57:00,05-Mar-2016 06:02:00,0,0.0,-.37, 
zNRP_cals,O3-cal,GASCALS%,PREC,05-Mar-2016 05:57:00,05-Mar-2016 06:07:05,-1,0.0,-.8, 
zNRP_cals,O3-cal,GASCALS%,ZERO,05-Mar-2016 05:57:00,05-Mar-2016 06:12:07,1,0.0,.77, 
zNRP_cals,NO2-cal,GASCALS,SPAN,06-Mar-2016 05:30:00,06-Mar-2016 05:35:00,383,374.666,2.19, 
zNRP_cals,NO2-cal,GASCALS,PREC,06-Mar-2016 05:30:00,06-Mar-2016 05:40:00,73,69.504,4.46, 
zNRP_cals,NO2-cal,GASCALS,ZERO,06-Mar-2016 05:30:00,06-Mar-2016 05:45:00,0,0.0,.03, 
zNRP_cals,NO2-cal,GASCALS%,SPAN,06-Mar-2016 05:57:00,06-Mar-2016 06:02:00,2,0.0,2.19, 
zNRP_cals,NO2-cal,GASCALS%,PREC,06-Mar-2016 05:57:00,06-Mar-2016 06:07:04,4,0.0,4.46, 
zNRP_cals,NO2-cal,GASCALS%,ZERO,06-Mar-2016 05:57:00,06-Mar-2016 06:12:04,0,0.0,.03, 
zNRP_cals,NO-cal,GASCALS,SPAN,06-Mar-2016 05:30:00,06-Mar-2016 05:35:00,464,456.4,1.61, 
zNRP_cals,NO-cal,GASCALS,PREC,06-Mar-2016 05:30:00,06-Mar-2016 05:40:00,203,204.6,.94, 
zNRP_cals,NO-cal,GASCALS,ZERO,06-Mar-2016 05:30:00,06-Mar-2016 05:45:00,0,0.0,.25, 
zNRP_cals,NO-cal,GASCALS%,SPAN,06-Mar-2016 05:57:00,06-Mar-2016 06:02:00,2,0.0,1.61, 
zNRP_cals,NO-cal,GASCALS%,PREC,06-Mar-2016 05:57:00,06-Mar-2016 06:07:04,-1,0.0,-.94, 
zNRP_cals,NO-cal,GASCALS%,ZERO,06-Mar-2016 05:57:00,06-Mar-2016 06:12:04,0,0.0,.25, 
zNRP_cals,NOX-cal,GASCALS,SPAN,06-Mar-2016 05:30:00,06-Mar-2016 05:35:00,464,456.4,1.58, 
zNRP_cals,NOX-cal,GASCALS,PREC,06-Mar-2016 05:30:00,06-Mar-2016 05:40:00,203,204.6,.65, 
zNRP_cals,NOX-cal,GASCALS,ZERO,06-Mar-2016 05:30:00,06-Mar-2016 05:45:00,0,0.0,.25, 
zNRP_cals,NOX-cal,GASCALS%,SPAN,06-Mar-2016 05:57:00,06-Mar-2016 06:02:00,2,0.0,1.58, 
zNRP_cals,NOX-cal,GASCALS%,PREC,06-Mar-2016 05:57:00,06-Mar-2016 06:07:04,-1,0.0,-.65, 
zNRP_cals,NOX-cal,GASCALS%,ZERO,06-Mar-2016 05:57:00,06-Mar-2016 06:12:04,0,0.0,.25, 
zNRP_cals,NOXCON,GASCALS,SPAN,06-Mar-2016 05:30:00,06-Mar-2016 05:35:00,99,100,1.48, 
zNRP_cals,NOXCON,GASCALS,PREC,06-Mar-2016 05:30:00,06-Mar-2016 05:40:00,100,100,.12, 
zNRP_cals,NOXCON,GASCALS,ZERO,06-Mar-2016 05:30:00,06-Mar-2016 05:45:00,99,100,.8, 
zNRP_cals,O3-cal,GASCALS,SPAN,06-Mar-2016 05:30:00,06-Mar-2016 05:35:00,347,348,.2, 
zNRP_cals,O3-cal,GASCALS,PREC,06-Mar-2016 05:30:00,06-Mar-2016 05:40:00,66,67,1.03, 
zNRP_cals,O3-cal,GASCALS,ZERO,06-Mar-2016 05:30:00,06-Mar-2016 05:45:00,1,0.0,.68, 
zNRP_cals,O3-cal,GASCALS%,SPAN,06-Mar-2016 05:57:00,06-Mar-2016 06:02:00,0,0.0,-.2, 
zNRP_cals,O3-cal,GASCALS%,PREC,06-Mar-2016 05:57:00,06-Mar-2016 06:07:04,-1,0.0,-1.03, 
zNRP_cals,O3-cal,GASCALS%,ZERO,06-Mar-2016 05:57:00,06-Mar-2016 06:12:04,1,0.0,.68, 
